trial_id,denomination,decade,posture,flipper,starting_side,heads
1,Nickel,2010s,Sitting,Josh,Heads,6
2,Quarter,2010s,Standing,Josh,Heads,2
3,Quarter,2010s,Sitting,Jenny,Tails,6
4,Nickel,2010s,Sitting,Josh,Tails,9
5,Nickel,1980s,Sitting,Jenny,Tails,7
6,Quarter,2010s,Sitting,Josh,Heads,6
7,Dime,1980s,Standing,Esther,Heads,3
8,Quarter,1980s,Standing,Esther,Heads,5
9,Nickel,2010s,Standing,Josh,Tails,5
10,Dime,2010s,Standing,Jenny,Tails,5
11,Nickel,1980s,Sitting,Josh,Tails,5
12,Nickel,2010s,Standing,Jenny,Heads,7
13,Nickel,1980s,Standing,Jenny,Tails,2
14,Quarter,1980s,Standing,Jenny,Heads,5
15,Quarter,1980s,Sitting,Jenny,Tails,4
16,Dime,1980s,Sitting,Jenny,Tails,5
17,Nickel,1980s,Sitting,Jenny,Heads,5
18,Quarter,1980s,Sitting,Jenny,Heads,5
19,Nickel,2010s,Standing,Josh,Heads,7
20,Dime,1980s,Sitting,Jenny,Heads,7
21,Dime,1980s,Sitting,Josh,Heads,6
22,Quarter,1980s,Sitting,Esther,Tails,4
23,Nickel,1980s,Standing,Esther,Heads,3
24,Dime,2010s,Standing,Josh,Tails,5
25,Quarter,2010s,Standing,Esther,Tails,3
26,Nickel,1980s,Sitting,Esther,Heads,8
27,Quarter,1980s,Sitting,Esther,Heads,6
28,Dime,2010s,Sitting,Jenny,Heads,4
29,Nickel,1980s,Sitting,Josh,Heads,4
30,Dime,2010s,Sitting,Josh,Heads,4
31,Dime,1980s,Sitting,Josh,Tails,6
32,Nickel,2010s,Sitting,Esther,Tails,5
33,Dime,1980s,Standing,Jenny,Heads,5
34,Quarter,2010s,Sitting,Josh,Tails,5
35,Dime,1980s,Standing,Josh,Heads,3
36,Dime,2010s,Standing,Esther,Tails,6
37,Nickel,2010s,Sitting,Jenny,Tails,5
38,Nickel,1980s,Standing,Josh,Tails,4
39,Nickel,1980s,Standing,Josh,Heads,6
40,Nickel,2010s,Standing,Esther,Tails,5
