trial_id,denomination,decade,posture,flipper,starting_side,heads
1,Nickel,2010s,Sitting,Josh,Heads,5
2,Quarter,2010s,Standing,Josh,Heads,5
3,Quarter,2010s,Sitting,Jenny,Tails,3
4,Nickel,2010s,Sitting,Josh,Tails,4
5,Nickel,1980s,Sitting,Jenny,Tails,5
6,Quarter,2010s,Sitting,Josh,Heads,4
7,Dime,1980s,Standing,Esther,Heads,5
8,Quarter,1980s,Standing,Esther,Heads,6
9,Nickel,2010s,Standing,Josh,Tails,5
10,Dime,2010s,Standing,Jenny,Tails,5
11,Nickel,1980s,Sitting,Josh,Tails,3
12,Nickel,2010s,Standing,Jenny,Heads,3
13,Nickel,1980s,Standing,Jenny,Tails,4
14,Quarter,1980s,Standing,Jenny,Heads,4
15,Quarter,1980s,Sitting,Jenny,Tails,6
16,Dime,1980s,Sitting,Jenny,Tails,5
17,Nickel,1980s,Sitting,Jenny,Heads,2
18,Quarter,1980s,Sitting,Jenny,Heads,7
19,Nickel,2010s,Standing,Josh,Heads,7
20,Dime,1980s,Sitting,Jenny,Heads,5
21,Dime,1980s,Sitting,Josh,Heads,4
22,Quarter,1980s,Sitting,Esther,Tails,8
23,Nickel,1980s,Standing,Esther,Heads,6
24,Dime,2010s,Standing,Josh,Tails,3
25,Quarter,2010s,Standing,Esther,Tails,3
26,Nickel,1980s,Sitting,Esther,Heads,4
27,Quarter,1980s,Sitting,Esther,Heads,3
28,Dime,2010s,Sitting,Jenny,Heads,5
29,Nickel,1980s,Sitting,Josh,Heads,5
30,Dime,2010s,Sitting,Josh,Heads,5
31,Dime,1980s,Sitting,Josh,Tails,5
32,Nickel,2010s,Sitting,Esther,Tails,5
33,Dime,1980s,Standing,Jenny,Heads,6
34,Quarter,2010s,Sitting,Josh,Tails,7
35,Dime,1980s,Standing,Josh,Heads,5
36,Dime,2010s,Standing,Esther,Tails,8
37,Nickel,2010s,Sitting,Jenny,Tails,5
